"With sound","Without sound"
"39.0","56.0"
"-19.0","-51.0"
"-102.0","-14.0"
"-93.4","-24.0"
"-30.0","-82.4"
"-56.0","8.8"
"-27.8","-3.6"
"-68.0","6.8"
"15.0","-5.4"
"-18.0","-4.6"
"-8.6","6.4"
"-105.0","-187.8"
"-39.2","-168.8"
"-42.4","-138.6"
"20.6","47.2"
"-4.2","-52.4"
"-17.8","-71.0"
"-91.8","-43.8"
"85.2","22.2"
"59.4","-12.2"
"-57.8","-21.2"
"51.8","60.4"
"-58.2","-37.8"
"0.4","-50.4"
"-12.4","-51.0"
"-126.0","-88.6"
"-205.0","-123.0"
"25.2","-11.0"
"8.2","133.4"
"-71.6","-8.8"
"-18.6","17.8"
"24.25","92.2"
"90.0","60.0"
"51.0","101.0"
"-41.6","1.0"
