"With sound","Without sound"
"-25.0","-38.6"
"5.0","-26.0"
"-96.0","-127.0"
"-78.2","-106.0"
"-112.0","-71.6"
"12.0","-25.0"
"41.6","36.4"
"-110.4","-109.8"
"-32.5","-17.0"
"-31.4","-16.8"
"0.0","-45.2"
"-63.0","-69.4"
"-34.6","-30.6"
"7.2","-18.2"
"-142.6","-12.4"
"-27.0","-68.9"
"-98.2","-151.8"
"-42.4","-87.0"
"-32.0","-17.06"
"-51.2","-103.6"
"-105.0","-97.6"
"-90.0","-107.28"
"-28.8","20.8"
"1.8","-16.4"
"37.0","29.0"
"8.6","-14.4"
"-36.0","49.0"
"-3.0","-28.0"
"15.8","-81.8"
"-0.2","-20.6"
"-88.0","-46.4"
"-14.75","-59.4"
"-112.6","-121.0"
"-52.4","-82.0"
"-31.2","11.8"
