"With sound","Without sound"
"-52.0","-32.6"
"-20.0","9.0"
"-29.0","-11.4"
"-72.0","-12.0"
"-125.4","-110.0"
"8.6","20.0"
"23.0","1.6"
"-0.8","-50.0"
"21.5","22.0"
"35.0","47.0"
"-18.0","6.0"
"-30.4","-19.2"
"-7.0","-66.2"
"-9.6","-8.0"
"-60.6","-14.0"
"-24.8","-35.4"
"-25.8","-35.0"
"0.8","14.6"
"-14.14","-20.0"
"8.8","13.2"
"-31.6","27.6"
"-20.4","-12.2"
"17.6","24.6"
"28.4","37.6"
"-16.0","7.4"
"4.6","-17.8"
"12.2","2.2"
"-19.0","11.8"
"-24.2","-3.6"
"-56.2","-29.8"
"-9.8","-7.2"
"55.0","35.8"
"-53.4","-46.6"
"-101.0","-40.2"
"-20.8","-40.0"
