"With sound","Without sound"
"-13.0","23.4"
"-39.0","-42.0"
"-131.0","-25.4"
"-165.4","-36.0"
"-155.4","-192.4"
"-47.4","28.8"
"-4.8","-2.0"
"-68.8","-43.2"
"36.5","16.6"
"17.0","42.4"
"-26.6","12.4"
"-135.4","-207.0"
"-46.2","-235.0"
"-52.0","-146.6"
"-40.0","33.2"
"-29.0","-87.8"
"-43.6","-106.0"
"-91.0","-29.2"
"71.06","2.2"
"68.2","1.0"
"-89.4","6.4"
"31.4","48.2"
"-40.6","-13.2"
"28.8","-12.8"
"-28.4","-43.6"
"-121.4","-106.4"
"-192.8","-120.8"
"6.2","0.8"
"-16.0","129.8"
"-127.8","-38.6"
"-28.4","10.6"
"79.25","128.0"
"36.6","13.4"
"-50.0","60.8"
"-62.4","-39.0"
