"With sound","Without sound"
"-47.8","-64.4"
"13.6","-25.0"
"-138.6","-146.4"
"-93.0","-122.2"
"-156.0","-119.8"
"-11.8","-48.0"
"-44.6","-51.8"
"-94.6","-145.4"
"-7.25","-14.8"
"-68.0","-14.4"
"12.0","-55.6"
"-85.2","-100.2"
"-131.4","-51.8"
"-69.0","-52.2"
"-180.8","-105.2"
"-95.4","-115.3"
"-132.6","-169.0"
"-58.2","-90.8"
"-45.2","-69.46000000000001"
"-37.2","-57.04"
"-154.0","-182.2"
"-116.0","-133.88"
"-39.2","37.6"
"-43.2","-87.6"
"-66.0","-55.4"
"-93.0","-97.8"
"-46.0","-30.4"
"-51.2","-46.8"
"-42.6","-84.8"
"39.4","-25.2"
"-79.8","-96.0"
"12.75","-48.4"
"-102.6","-121.8"
"-67.4","-83.0"
"-28.0","-4.6"
