Trial Number,Error 1 - Diagonal Distance,Error 2 - Horizontal Distance,Error 3 - Vertical Distance,Backwards Error 1,Backwards Error 2,Backwards Error 3,,,Comments
1,2600,-700,-2700,-,-,-,,,lots of swaying
2,2320,-400,2310,-,-,-,,,
3,2500,-1300,2000,-,-,-,,,
4,1450,-500,1100,-,-,-,,,
5,1060,-300,-1000,-,-,-,,,
6,800,-700,200,3200,-2400,-2100,,,
7,3400,-1100,-3280,-,-,-,,,
8,500,-150,-500,1050,-900,-500,,,
9,400,300,200,-,-,-,,,
10,3200,-600,-3200,-,-,-,,,
11,800,-250,700,3500,2700,-3400,,,
12,2050,500,-2000,-,-,-,,,
13,1000,-400,-1000,-,-,-,,,
14,1600,-150,-1700,-,-,-,,,
15,3200,1700,-1900,-,-,-,,,
16,650,-500,350,-,-,-,,,
17,0,0,400,1100,800,-950,,,
18,3500,2400,-3200,-,-,-,,,
19,1300,600,-900,-,-,-,,,
20,0,-70,0,1100,-700,-900,,,
21,2300,-2000,-1300,-,-,-,,,
22,2600,-300,-2500,-,-,-,,,
23,850,-100,-820,1700,-1500,-1400,,,
24,900,-750,-400,2100,-1600,-1500,,,
25,1200,-200,-1100,-,-,-,,,
26,3900,-1900,-1200,-,-,-,,,
27,1300,700,-1350,-,-,-,,,
28,350,0,-350,350,-300,-150,,,
29,400,-430,-200,-,-,-,,,
30,1100,900,-600,-,-,-,,,
31,600,-450,200,-,-,-,,,
32,1000,150,-1030,900,-800,200,,,
33,1270,-150,-1300,1200,-1100,-450,,,
34,2400,-1800,-1700,-,-,-,,,
35,0,0,0,0,0,0,,,
36,0,0,0,0,0,0,,,
