"Trial Number","Error 1 - Diagonal Distance","Error 2 - Horizontal Distance","Error 3 - Vertical Distance","Backwards Error 1","Backwards Error 2","Backwards Error 3"
"1","870","-600","800","1300","1100","-600"
"2","1200","-1300","-800","-","-","-"
"3","2650","-2500","-1100","-","-","-"
"4","1600","1500","-900","4500","0","-4500"
"5","3500","-1800","-3400","-","-","-"
"6","600","-500","350","700","-690","150"
"7","3500","-1900","-3200","-","-","-"
"8","2300","-3100","-1400","-","-","-"
"9","1000","-900","-240","2250","-1700","-2000"
"10","500","-200","350","220","-100","240"
"11","2600","-2300","-1300","-","-","-"
"12","3300","-500","-3500","-","-","-"
"13","1000","-1700","-700","2700","-2000","-2100"
"14","3300","-3300","-500","-","-","-"
"15","2200","-2000","600","-","-","-"
"16","3000","-2800","-3000","-","-","-"
"17","3100","-2400","-3100","-","-","-"
"18","600","-500","250","-","-","-"
"19","3100","-2400","-2200","-","-","-"
"20","800","-400","-850","-","-","-"
"21","2300","-1800","-1300","-","-","-"
"22","2500","-2100","-1400","-","-","-"
"23","900","-800","400","-","-","-"
"24","3000","-2200","-1300","-","-","-"
"25","3350","-1800","-3300","-","-","-"
"26","2800","-2300","-1800","-","-","-"
"27","2900","-2200","-900","-","-","-"
"28","740","-700","-210","1200","-1400","-400"
"29","800","-700","-300","600","-300","400"
"30","2100","1800","-1100","-","-","-"
"31","500","-300","-500","200","-180","-200"
"32","3500","-1700","-3200","-","-","-"
"33","2200","-2400","-1200","-","-","-"
"34","100","-100","-200","700","-600","-200"
"35","0","0","0","0","0","0"
"36","0","0","0","0","0","0"
