Trial Number,Error 1 - Diagonal Distance,Error 2 - Horizontal Distance,Error 3 - Vertical Distance,Backwards Error 1,Backwards Error 2,Backwards Error 3,,
1,400,-310,400,1600,-200,-1560,,
2,600,-400,-450,-,-,-,,
3,860,-300,-700,-,-,-,,
4,500,-100,-540,3100,-3160,-130,,
5,2690,-2400,-1600,-,-,-,,
6,1650,-1700,-1400,-,-,-,,
7,550,-450,-300,2800,-2890,-230,,
8,1500,-1590,400,-,-,-,,
9,500,-450,-240,-,-,-,,
10,2000,-1900,200,2200,-2300,-340,,Ended trial on forward so there's no backward
11,700,-250,-560,2400,-2500,300,,
12,1600,-1000,-1400,-,-,-,,
13,3500,-1700,-3200,-,-,-,,
14,1700,-1100,-1400,-,-,-,,
15,850,-250,-800,-,-,-,,
16,1590,-1300,-1000,-,-,-,,
17,400,-410,-240,-,-,-,,
18,1000,-450,-900,700,-400,-500,,
19,900,-400,-800,600,-550,300,,
20,1200,1100,-300,-,-,-,,
21,700,-200,-750,-,-,-,,
22,1700,-600,-1500,-,-,-,,
23,1600,-1490,-1000,-,-,-,,
24,300,290,100,-,-,-,,
25,1200,-500,-1100,600,500,-400,,
26,1290,-390,-1400,-,-,-,,
27,600,-200,-400,-,-,-,,
28,850,700,-300,-,-,-,,
29,1700,-1450,-1300,-,-,-,,
30,1200,600,-1000,300,-200,-300,,
31,1390,-1400,-1300,-,-,-,,
32,1900,-1600,-1000,-,-,-,,
33,1500,-1600,-1750,-,-,-,,
34,1400,100,-1300,1200,1300,-400,,
35,0,0,0,0,0,0,,
36,0,0,0,100,0,-100,,
