Trial Number,Error 1 - Diagonal Distance,Error 2 - Horizontal Distance,Error 3 - Vertical Distance,Backwards Error 1,Backwards Error 2,Backwards Error 3,,,
1,1175,-300,1100,-,-,-,,,
2,640,400,-690,-,-,-,,,no homing mark
3,850,-300,860,-,-,-,,,
4,1680,-630,1780,-,-,-,,,
5,1132,-1220,320,3000,-1200,-3240,,,
6,1000,900,-450,-,-,-,,,
7,570,560,100,-,-,-,,,
8,770,-550,-700,1400,1130,-900,,,
9,700,-90,710,-,-,-,,,
10,650,-660,-140,1400,-1000,-1040,,,
11,100,0,50,-,-,-,,,
12,300,320,-140,-,-,-,,,
13,940,-40,-950,1350,1360,-350,,,
14,800,700,400,-,-,-,,,
15,1000,-920,-400,-,-,-,,,
16,1600,1700,950,-,-,-,,,
17,1200,-100,-1230,700,-370,750,,,
18,1190,-1000,-670,-,-,-,,,
19,900,990,300,-,-,-,,,
20,940,850,400,-,-,-,,,
21,1100,1130,-200,-,-,-,,,
22,1120,-300,-1130,1100,1200,-120,,,
23,480,-300,-380,-,-,-,,,
24,600,-400,-500,1450,1300,-650,,,
25,600,-260,-680,1200,1300,-450,,,
26,200,210,120,-,-,-,,,
27,2140,-2170,-550,-,-,-,,,
28,770,250,720,-,-,-,,,
29,1165,1170,500,-,-,-,,,
30,650,0,-650,1170,-1130,-450,,,
31,530,-520,-200,-,-,-,,,
32,900,-200,-890,1180,800,-1300,,,
33,0,0,0,-,-,-,,,
34,1175,1170,-450,-,-,-,,,
35,0,0,0,0,0,0,,,
36,0,0,0,0,0,0,,,
