Trial Number,Error 1 - Diagonal Distance,Error 2 - Horizontal Distance,Error 3 - Vertical Distance,Backwards Error 1,Backwards Error 2,Backwards Error 3
1,570,-500,-200,-,-,-
2,600,590,-220,-,-,-
3,1270,-800,-1000,-,-,-
4,940,-810,-740,-,-,-
5,940,-670,-710,-,-,-
6,1070,-900,-890,-,-,-
7,1030,820,830,-,-,-
8,1100,1090,-120,-,-,-
9,420,-200,-440,-,-,-
10,1260,-750,-1150,-,-,-
11,700,600,-300,1220,-530,-1200
12,1860,1800,-500,-,-,-
13,340,-320,-240,1200,-300,-1190
14,700,360,-690,-,-,-
15,980,500,990,1400,-600,-1230
16,1410,-1340,-840,-,-,-
17,980,600,-830,-,-,-
18,2750,800,-2700,-,-,-
19,720,-380,-680,1280,-1220,-100
20,340,-350,-160,840,-430,-880
21,920,-800,-500,-,-,-
22,2400,1950,-2800,-,-,-
23,640,170,-600,780,-730,-200
24,1660,-700,-1510,-,-,-
25,610,170,-510,-,-,-
26,1100,-1000,-540,-,-,-
27,630,640,230,630,-680,-300
28,1270,-400,-1250,-,-,-
29,0,0,0,1770,-1800,-400
30,640,-610,-380,-,-,-
31,180,-190,-120,900,100,-840
32,100,100,-100,600,-590,-130
33,360,-270,-170,-,-,-
34,1500,-700,-1400,-,-,-
35,0,0,0,50,0,-50
36,0,0,0,50,0,-50
