Trial Number,Error 1 - Diagonal Distance,Error 2 - Horizontal Distance,Error 3 - Vertical Distance,Backwards Error 1,Backwards Error 2,Backwards Error 3
1,0,0,0,-,-,-
2,350,0,-100,,,
3,2200,100,-1900,-,-,-
4,0,0,-750,-,-,-
5,450,200,-400,2300,1450,-2400
6,400,400,-350,1800,1400,-1000
7,300,200,-200,-,-,-
8,200,200,100,-,-,-
9,150,100,100,-,-,-
10,550,550,200,-,-,-
11,300,200,-200,1700,1150,-1000
12,700,200,-100,-,-,-
13,1470,250,-1400,-,-,-
14,1000,200,-1000,-,-,-
15,600,150,-600,1500,1120,-700
16,900,650,-800,2700,1940,-2000
17,300,300,-300,-,-,-
18,1200,700,-1000,-,-,-
19,550,300,-550,-,-,-
20,1200,1000,-300,-,-,-
21,500,400,-400,-,-,-
22,800,650,-660,2770,2200,-2000
23,200,200,-180,-,-,-
24,0,0,-980,2130,1400,-1500
25,650,500,200,2900,2100,-2200
26,450,250,-450,-,-,-
27,540,400,-500,3100,2200,-2400
28,1000,400,-300,-,-,-
29,700,400,-600,2000,1500,-1400
30,1450,500,-1400,-,-,-
31,1000,200,-1000,-,-,-
32,1270,900,-1100,-,-,-
33,400,200,-400,-,-,-
34,250,200,-250,,,
35,0,0,0,0,0,0
36,0,0,0,0,0,0
