"Trial Number","Trial File Number","Trial Indexes","Trial Type","Freq Sin Values","Time Vec","Volume Left Vec","yy","Pitch gy","Yaw gz","Roll gx","y axis Left-Right","z axis Up-Down","x axis Forward-Backward"
"1","0","429","7.0","394.0","17.792372703552246","0.48","3065.0","4.426","1.87775","-0.4535","-0.00125","0.0828515625","-0.008291015625"
"1","0","430","7.0","394.0","17.80978775024414","0.49","3068.0","5.83875","1.977","-1.6625","-0.00125","0.0854296875","-0.005"
"1","0","431","7.0","394.0","17.896862983703613","0.51","3083.0","4.368","4.397","-1.803","-0.00125","0.083203125","-0.005"
"1","0","432","7.0","394.0","17.914278030395508","0.52","3086.0","4.426","1.179625","-1.2415","7.8125e-05","0.0813671875","-0.005"
"1","0","433","7.0","394.0","17.931693077087402","0.52","3089.0","0.4425","1.7405","1.7705","-0.0003125","0.08208984375","-0.005"
"1","0","434","7.0","395.0","18.03618335723877","0.52","3107.0","-1.398","1.794","1.38725","-0.00125","0.08197265625","-0.005"
"1","0","435","7.0","396.0","18.053598403930664","0.52","3110.0","-1.12275","1.55725","0.28075","-0.005","0.081171875","-0.005"
"1","0","436","7.0","394.0","18.15808868408203","0.55","3128.0","-0.3885","4.5185","-4.7055","-0.00125","0.08216796875","-0.005"
"1","0","437","7.0","389.0","18.175503730773926","0.57","3131.0","1.0795","5.687","-4.10225","-0.00125","0.08","-0.0205078125"
"1","0","438","7.0","389.0","18.279994010925293","0.57","3149.0","4.39375","1.87775","-4.201","-0.00125","0.03966796875","-0.005"
"1","0","439","7.0","389.0","18.297409057617188","0.57","3152.0","4.29125","1.72525","-1.3925","-0.00125","0.0815234375","-0.009423828125"
"1","0","440","7.0","392.0","18.314824104309082","0.55","3155.0","5.882","-1.5575","1.943","-0.005","0.088984375","-0.008583984375"
"1","0","441","7.0","397.0","18.41931438446045","0.47","3173.0","0.256","-4.809","0.43725","-0.005","0.08","-0.005"
"1","0","442","7.0","395.0","18.436729431152344","0.44","3176.0","4.2805","-4.901","-1.085","-0.005","0.0806640625","-0.008935546875"
"1","0","443","7.0","395.0","18.54121971130371","0.43","3194.0","5.16575","-6.748","1.139","-0.005","0.03908203125","-0.005"
"1","0","444","7.0","395.0","18.558634757995605","0.43","3197.0","4.7015","-7.0685","1.44125","-0.007685546875","0.03951171875","-0.005"
"1","0","445","7.0","394.0","18.5760498046875","0.42","3200.0","4.4315","-4.18325","-5.02","-0.005","0.0388671875","-0.009853515625"
"1","0","446","7.0","392.0","18.680540084838867","0.42","3218.0","6.06175","-4.64875","-5.8765","-0.005","0.03951171875","-0.005"
"1","0","447","7.0","388.0","18.69795513153076","0.42","3221.0","6.9305","-6.939","-5.23125","-0.00125","0.03955078125","-0.009326171875"
"1","0","448","7.0","388.0","18.715370178222656","0.43","3224.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1","0","449","7.0","391.0","18.80244541168213","0.38","3239.0","4.71625","-17.8475","1.449","-0.005","0.0908984375","-0.005"
"1","0","450","7.0","393.0","18.819860458374023","0.35","3242.0","1.5815","-19.0075","1.024","-0.005","0.086328125","-0.0204296875"
"1","0","451","7.0","399.0","18.837275505065918","0.23","3245.0","17.6185","-16.52","4.5555","-0.00125","0.081640625","-0.009404296875"
"1","0","452","7.0","400.0","18.92435073852539","0.23","3260.0","18.0935","-22.62275","5.3545","-0.0003125","0.0810546875","-0.009169921875"
"1","0","453","7.0","401.0","18.941765785217285","0.22","3263.0","17.0355","-16.52","5.79525","-0.0003125","0.08201171875","-0.005"
