"Trial Number","Error 1 - Diagonal Distance","Error 2 - Horizontal Distance","Error 3 - Vertical Distance","Backwards Error 1","Backwards Error 2","Backwards Error 3"
"1","720","-250","-750","1010","-220","-1020"
"2","720","-600","400","-","-","-"
"3","1400","-500","-1380","-","-","-"
"4","1400","-1300","-700","-","-","-"
"5","1020","1000","-200","-","-","-"
"6","810","-300","820","1700","-1600","-900"
"7","230","210","-180","-","-","-"
"8","700","-150","690","-","-","-"
"9","3650","-1800","3100","-","-","-"
"10","950","-650","850","670","100","-680"
"11","830","500","600","-","-","-"
"12","650","-400","-690","700","500","700"
"13","400","-250","360","-","-","-"
"14","1540","550","-1400","-","-","-"
"15","3100","-200","3200","-","-","-"
"16","0","0","0","1000","600","900"
"17","1430","1100","-1130","-","-","-"
"18","1000","-600","900","2500","-2300","100"
"19","1340","-1100","-900","-","-","-"
"20","2300","-150","-2220","-","-","-"
"21","200","-170","-120","-","-","-"
"22","2500","2700","-1800","-","-","-"
"23","1000","900","500","-","-","-"
"24","300","200","150","-","-","-"
"25","3400","-1800","2400","-","-","-"
"26","600","580","-250","-","-","-"
"27","1390","-1500","-700","-","-","-"
"28","1900","-1300","-1200","-","-","-"
"29","300","-310","-150","590","580","-150"
"30","500","-300","350","-","-","-"
"31","650","-430","520","350","480","-300"
"32","630","-630","-150","270","200","140"
"33","820","-730","400","2400","-2360","170"
"34","1260","-800","-1000","-","-","-"
"35","0","0","0","0","0","0"
"36","0","0","0","0","0","0"
