Trial Number,Error 1 - Diagonal Distance,Error 2 - Horizontal Distance,Error 3 - Vertical Distance,Backwards Error 1,Backwards Error 2,Backwards Error 3,,
1,800,-400,600,-,-,-,,
2,2700,-1100,-2400,-,-,-,,
3,980,830,-500,-,-,-,,
4,150,-130,-140,1530,-1440,-500,,
5,770,-400,-720,-,-,-,,
6,250,190,-200,1400,-1000,-1300,,
7,450,280,380,1900,1200,-1600,,
8,1230,1000,-900,-,-,-,,
9,800,-600,-530,-,-,-,,
10,700,-450,-600,-,-,-,,
11,700,-250,-650,-,-,-,,
12,500,-360,400,-,-,-,,
13,700,700,350,-,-,-,,
14,1100,-700,-850,-,-,-,,
15,400,320,-300,-,-,-,,
16,1000,-920,-400,-,-,-,,
17,1900,-1500,-1200,-,-,-,,
18,930,900,250,-,-,-,,
19,500,-240,400,1400,600,-1300,,
20,200,-150,-150,670,550,-320,,
21,2520,2300,-900,-,-,-,,
22,730,610,-350,-,-,-,,
23,900,-250,870,2100,-2090,-200,,
24,0,0,0,-,-,-,,
25,2600,-1700,1900,-,-,-,,
26,1090,-150,-1100,1060,800,-800,,Pressed homing mark by mistake. Delete homing mark number 20
27,700,-250,-680,320,300,-120,,
28,910,-300,-860,-,-,-,,
29,700,-150,-650,300,320,-280,,
30,800,0,-800,780,720,-300,,
31,960,250,-780,-,-,-,,
32,840,100,-850,-,-,-,,
33,2420,1400,2100,-,-,-,,
34,1020,-700,-800,-,-,-,,
35,0,0,0,0,0,0,,
36,0,0,0,0,0,0,,
