"Trial Number","Trial File Number","Trial Indexes","Trial Type","Freq Sin Values","Time Vec","Volume Left Vec","yy","Pitch gy","Yaw gz","Roll gx","y axis Left-Right","z axis Up-Down","x axis Forward-Backward","Homing Mark","WiaSL Mark"
"1","0","1868","7.0","393.0","72.52786445617676","0.47","12494.0","1.49525","-5.038","-1.06325","-0.00125","0.082890625","-0.005","0.0","0.0"
"1","0","1869","7.0","393.0","72.62654972076416","0.47","12511.0","1.8785","-1.8625","-1.46825","-0.00125","0.083046875","-0.005","0.0","0.0"
"1","0","1870","7.0","393.0","72.63235473632812","0.48","12512.0","1.614","-1.024","-1.4735","7.8125e-05","0.0815234375","-0.005","0.0","0.0"
"1","0","1871","7.0","393.0","72.64976978302002","0.48","12515.0","5.0625","-1.47325","-1.29","-0.00125","0.0841796875","-0.00125","0.0","0.0"
"1","0","1872","7.0","394.0","72.66718482971191","0.48","12518.0","4.2535","-0.256","-0.4425","-0.00125","0.082734375","-0.005","0.0","0.0"
"1","0","1873","7.0","394.0","72.75426006317139","0.49","12533.0","5.03025","-1.6795","-1.09025","-0.00125","0.081171875","-0.005","0.0","0.0"
"1","0","1874","7.0","393.0","72.77167510986328","0.49","12536.0","4.6205","-0.5115","-1.2305","-0.00125","0.08197265625","-0.005","0.0","0.0"
"1","0","1875","7.0","393.0","72.78909015655518","0.49","12539.0","7.492","-0.351","-1.1445","-0.00125","0.08197265625","-0.00125","0.0","0.0"
"1","0","1876","7.0","393.0","72.87616539001465","0.49","12554.0","7.6755","-0.2595","-0.38325","-0.00125","0.0809375","-0.00125","0.0","0.0"
"1","0","1877","7.0","393.0","72.89358043670654","0.49","12557.0","7.4275","-0.2825","-0.4965","-0.005","0.080078125","-0.00125","0.0","0.0"
"1","0","1878","7.0","394.0","72.91099548339844","0.49","12560.0","6.6715","-1.145","-1.449","-0.005","0.0809375","-0.00125","0.0","0.0"
"1","0","1879","7.0","390.0","73.0154857635498","0.51","12578.0","5.97525","5.85425","-8.172","-0.00125","0.08205078125","-0.005","0.0","0.0"
"1","0","1880","7.0","387.0","73.02709579467773","0.54","12580.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1","0","1881","7.0","387.0","73.02709579467773","0.54","12580.0","5.279","7.9845","-4.329","-0.00125","0.084140625","-0.0003125","0.0","0.0"
"1","0","1882","7.0","387.0","73.0329008102417","0.55","12581.0","4.13425","7.78875","-1.7975","-0.0003125","0.0818359375","0.00125","0.0","0.0"
"1","0","1883","7.0","387.0","73.0503158569336","0.55","12584.0","4.13425","7.78875","-1.7975","-0.0003125","0.0818359375","0.00125","0.0","0.0"
"1","0","1884","7.0","387.0","73.06773090362549","0.56","12587.0","4.3505","7.359","-4.2425","-0.005","0.0833203125","0.0003125","0.0","0.0"
"1","0","1885","7.0","391.0","73.08514595031738","0.58","12590.0","-5.387","1.83975","0.256","-0.00125","0.083828125","-0.00125","0.0","0.0"
"1","0","1886","7.0","391.0","73.13739109039307","0.58","12599.0","-5.387","1.83975","0.256","-0.00125","0.083828125","-0.00125","0.0","0.0"
"1","0","1887","7.0","391.0","73.15480613708496","0.57","12602.0","-5.333","1.092","0.064","-0.005","0.08265625","-0.005","0.0","0.0"
"1","0","1888","7.0","395.0","73.17222118377686","0.53","12605.0","5.862","-1.092","1.425","-0.00125","0.085390625","-0.0003125","0.0","0.0"
"1","0","1889","7.0","396.0","73.27671146392822","0.49","12623.0","4.232","-1.687","1.8675","-0.00125","0.08","-0.00125","0.0","0.0"
"1","0","1890","7.0","396.0","73.29412651062012","0.48","12626.0","1.2955","-1.44275","1.1875","-0.00125","0.081171875","-0.00125","0.0","0.0"
"1","0","1891","7.0","396.0","73.39861679077148","0.48","12644.0","1.09025","-1.38925","-1.1875","-0.0003125","0.080703125","-0.005","0.0","0.0"
"1","0","1892","7.0","396.0","73.41603183746338","0.48","12647.0","1.45975","-1.092","-0.475","-0.00125","0.039921875","-0.00125","0.0","0.0"
"1","0","1893","7.0","389.0","73.43344688415527","0.46","12650.0","4.49625","-7.27325","-6.5095","0.0003125","0.08","-0.00125","0.0","0.0"
"1","0","1894","7.0","387.0","73.52052211761475","0.43","12668.0","6.6715","-4.23675","-1.7705","-0.00125","0.0817578125","-0.0003125","0.0","0.0"
"1","0","1895","7.0","387.0","73.53793716430664","0.43","12668.0","6.6715","-4.23675","-1.7705","-0.00125","0.0817578125","-0.0003125","0.0","0.0"
"1","0","1896","7.0","394.0","73.6598424911499","0.42","12689.0","5.50025","-7.603","-0.421","0.00125","0.08","-0.0003125","0.0","0.0"
"1","0","1897","7.0","395.0","73.67145252227783","0.42","12691.0","4.275","-7.9845","-0.064","-0.00125","0.0810546875","-0.0003125","0.0","0.0"
"1","0","1898","7.0","395.0","73.6772575378418","0.42","12692.0","4.275","-7.9845","-0.064","-0.00125","0.0810546875","-0.0003125","0.0","0.0"
"1","0","1899","7.0","389.0","73.69467258453369","0.44","12695.0","7.1575","-0.41225","-6.8985","-0.0003125","0.083671875","0.00125","0.0","0.0"
"1","0","1900","7.0","388.0","73.78174781799316","0.45","12710.0","8.1075","0.4885","-7.546","2.2958874039497803e-43","0.0844140625","0.00125","0.0","0.0"
"1","0","1901","7.0","387.0","73.79916286468506","0.47","12713.0","4.5395","1.3435","-1.53825","0.00125","0.0934375","0.00125","0.0","0.0"
"1","0","1902","7.0","387.0","73.79916286468506","0.47","12713.0","4.5395","1.3435","-1.53825","0.00125","0.0934375","0.00125","0.0","0.0"
"1","0","1903","7.0","390.0","73.90365314483643","0.55","12731.0","4.71625","5.5725","-4.71625","-0.005","0.0874609375","-0.00125","0.0","0.0"
"1","0","1904","7.0","389.0","73.92106819152832","0.57","12734.0","5.58125","7.53425","-6.8225","0.0003125","0.03908203125","-0.00125","0.0","0.0"
"1","0","1905","7.0","389.0","73.93848323822021","0.58","12737.0","6.374375","6.9695","-4.847","-0.00125","0.02","-0.00125","0.0","0.0"
"1","0","1906","7.0","388.0","73.96750831604004","0.59","12742.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1","0","1907","7.0","388.0","73.973313331604","0.59","12743.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1","0","1908","7.0","388.0","74.02555847167969","0.59","12752.0","6.79025","6.06875","-1.77575","-0.00125","0.0848828125","-0.005","0.0","0.0"
"1","0","1909","7.0","388.0","74.04297351837158","0.59","12755.0","7.654","5.73425","-1.6355","-0.00125","0.083984375","-0.005","0.0","0.0"
"1","0","1910","7.0","391.0","74.06038856506348","0.57","12758.0","1.452","4.4275","-1.7815","-0.00125","0.087734375","-0.00125","0.0","0.0"
"1","0","1911","7.0","391.0","74.07780361175537","0.57","12761.0","-1.058","4.44275","-1.317","-0.00125","0.0887109375","-0.00125","0.0","0.0"
"1","0","1912","7.0","393.0","74.09521865844727","0.56","12764.0","1.3765","7.252","-1.7435","-0.00125","0.02","-0.007509765625","0.0","0.0"
"1","0","1913","7.0","393.0","74.16487884521484","0.57","12776.0","6.4665","7.893","-4.504","-0.00125","0.02","-0.005","0.0","0.0"
"1","0","1914","7.0","390.0","74.18229389190674","0.58","12779.0","6.974","7.374","-1.9215","0.0003125","0.0816015625","-0.0003125","0.0","0.0"
"1","0","1915","7.0","390.0","74.19970893859863","0.58","12782.0","6.974","7.374","-1.9215","0.0003125","0.0816015625","-0.0003125","0.0","0.0"
"1","0","1916","7.0","391.0","74.2867841720581","0.56","12797.0","4.368","0.397","-1.803","-0.0003125","0.0811328125","-7.8125e-05","0.0","0.0"
"1","0","1917","7.0","393.0","74.29258918762207","0.54","12798.0","1.1605","-4.3815","1.11725","-0.00125","0.080546875","-0.00125","0.0","0.0"
"1","0","1918","7.0","393.0","74.30419921875","0.54","12800.0","1.1605","-4.3815","1.11725","-0.00125","0.080546875","-0.00125","0.0","0.0"
"1","0","1919","7.0","395.0","74.31580924987793","0.47","12802.0","5.4195","-5.03825","1.562625","-0.005","0.03990234375","-0.00125","0.0","0.0"
"1","0","1920","7.0","396.0","74.3216142654419","0.46","12803.0","4.68525","-4.771","1.587","-0.00125","0.08171875","-0.00125","0.0","0.0"
"1","0","1921","7.0","397.0","74.42610454559326","0.44","12821.0","17.575","-5.1985","-0.256","-0.005","0.03943359375","-0.0003125","0.0","0.0"
"1","0","1922","7.0","395.0","74.44351959228516","0.43","12824.0","7.773","-5.8015","-0.4535","-0.00125","0.0820703125","0.00125","0.0","0.0"
"1","0","1923","7.0","395.0","74.46093463897705","0.43","12827.0","7.773","-5.8015","-0.4535","-0.00125","0.0820703125","0.00125","0.0","0.0"
"1","0","1924","7.0","394.0","74.54800987243652","0.43","12842.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1","0","1925","7.0","395.0","74.56542491912842","0.39","12845.0","5.21425","-20.0155","4.096","-0.00125","0.0890625","0.005","0.0","0.0"
"1","0","1926","7.0","399.0","74.68733024597168","0.26","12866.0","7.05475","-29.496","4.5235","-0.00125","0.0887109375","0.00125","0.0","0.0"
"1","0","1927","7.0","398.0","74.70474529266357","0.21","12869.0","6.9845","-17.2745","4.869","0.005","0.0805859375","7.8125e-05","0.0","0.0"
"1","0","1928","7.0","398.0","74.80923557281494","0.22","12887.0","6.9305","-18.6335","6.4775","0.005","0.087734375","0.00125","0.0","0.0"
"1","0","1929","7.0","401.0","74.82665061950684","0.25","12890.0","-4.3615","-32.1375","1.024","0.00125","0.0394140625","-0.00125","0.0","0.0"
"1","0","1930","7.0","402.0","74.9311408996582","0.2","12908.0","4.761","-28.046","4.504","0.00125","0.03724609375","-0.00125","0.0","0.0"
"1","0","1931","7.0","401.0","74.9485559463501","0.18","12911.0","1.38175","-23.1495","4.318","-7.8125e-05","0.02","7.8125e-05","0.0","0.0"
"1","0","1932","7.0","396.0","75.07046127319336","0.3","12932.0","4.383","-6.73275","-1.78125","0.0003125","0.0392578125","0.0003125","0.0","0.0"
"1","0","1933","7.0","388.0","75.08787631988525","0.42","12935.0","1.317","-4.202875","-1.99725","0.005","0.08193359375","-0.005","0.0","0.0"
"1","0","1934","7.0","389.0","75.19236660003662","0.43","12953.0","4.2265","-4.30525","1.2415","0.00125","0.0832421875","-0.0003125","0.0","0.0"
"1","0","1935","7.0","392.0","75.20978164672852","0.43","12956.0","5.81875","-7.27325","1.91075","0.0003125","0.084140625","0.00125","0.0","0.0"
"1","0","1936","7.0","397.0","75.31427192687988","0.43","12974.0","6.936","-4.64875","-4.9335","-0.005","0.0869140625","0.005","0.0","0.0"
"1","0","1937","7.0","397.0","75.33168697357178","0.43","12977.0","6.95225","-4.2825","-5.68375","-0.0003125","0.08609375","0.005","0.0","0.0"
"1","0","1938","7.0","393.0","75.34910202026367","0.43","12980.0","4.193","-7.023","-1.4735","-0.00125","0.0928125","0.005","0.0","0.0"
"1","0","1939","7.0","389.0","75.45359230041504","0.46","12998.0","4.1185","1.4045","-4.3345","-0.0003125","0.0845703125","0.00125","0.0","0.0"
"1","0","1940","7.0","389.0","75.47100734710693","0.52","13001.0","4.2065","-0.064","0.43725","-0.00125","0.089296875","0.00125","0.0","0.0"
"1","0","1941","7.0","389.0","75.5754976272583","0.52","13019.0","1.705625","-0.5115","1.9","-0.00125","0.09109375","0.005","0.0","0.0"
"1","0","1942","7.0","391.0","75.5929126739502","0.51","13022.0","-6.65","0.004","-0.38875","-0.005","0.087578125","0.00125","0.0","0.0"
"1","0","1943","7.0","394.0","75.61032772064209","0.49","13025.0","-5.735625","-5.793","-1.2525","-0.005","0.0387890625","-0.00125","0.0","0.0"
"1","0","1944","7.0","394.0","75.62774276733398","0.48","13028.0","-7.4815","-4.41975","-0.297","-0.00125","0.03759765625","-0.00125","0.0","0.0"
