Trial Number,Error 1 - Diagonal Distance,Error 2 - Horizontal Distance,Error 3 - Vertical Distance,Backwards Error 1,Backwards Error 2,Backwards Error 3
1,2200,-2100,1600,-,-,-
2,1800,200,-1700,-,-,-
3,1030,-600,1000,400,-450,-200
4,500,-470,-200,1700,-1600,200
5,1700,300,1400,-,-,-
6,2500,2600,-600,-,-,-
7,510,-500,-100,1240,100,1220
8,300,-150,200,1500,1300,-700
9,850,300,750,-,-,-
10,800,50,800,-,-,-
11,1400,-1420,-200,-,-,-
12,800,-600,-800,830,-300,-800
13,650,-400,-450,-,-,-
14,1600,-1300,900,-,-,-
15,1590,-1600,-500,-,-,-
16,850,900,-150,-,-,-
17,1200,-1000,-1250,-,-,-
18,610,-450,-500,790,500,-650
19,2500,-1600,-2400,-,-,-
20,240,-140,-220,200,-130,140
21,740,1500,-1500,-,-,-
22,1550,-1600,-100,-,-,-
23,1400,-1300,400,-,-,-
24,200,-120,150,800,-850,-500
25,250,-160,230,1000,-800,-700
26,1800,-1100,-1700,-,-,-
27,410,150,-420,1170,200,1020
28,1200,-700,-1300,-,-,-
29,620,-420,-400,-,-,-
30,1300,-1200,-600,-,-,-
31,2300,-2240,-200,-,-,-
32,1300,-1400,-250,-,-,-
33,500,-500,200,-,-,-
34,630,-250,-600,-,-,-
35,0,0,0,0,0,0
36,0,0,0,0,0,0
